Reference	Host_strain	Influenza_virus_name	LD50	LD50_unit	Notes on LD50
Liedmann et al., 2014	BALB/C	rA/PR8(1234567)/PR8M(8)(H1N1)	10E2.5	PFU	less than 10E2.5
Liedmann et al., 2014	BALB/C	rA/PR8(4678)/PR8M(1235)(H1N1)	10E2.5	PFU	more than 10E2.5
Liedmann et al., 2014	DBA/2J	rA/PR8(4678)/PR8M(1235)(H1N1)	10E2.5	PFU	more than 10E2.5
Liedmann et al., 2014	C57BL/6	rA/PR8(4678)/PR8M(1235)(H1N1)	10E2.5	PFU	more than 10E2.5
Liedmann et al., 2014	C57BL/6 IFNAR-/-	rA/PR8(4678)/PR8M(1235)(H1N1)	10E2.5	PFU	less than 10E2.5
Zhu et al., 2015	C57BL/6	A/Anhui/1/2013(H7N9)	10E4.5	TCID50	
Zhu et al., 2015	C57BL/6	A/AH1/KN(H7N9)	10E3.3	TCID50	
Zhu et al., 2015	C57BL/6	A/AH1/EN(H7N9)	10E6.3	TCID50	
Ainai et al., 2015	BALB/C	A/Narita/1/2009/MDCK(H1N1)	10E6.0	PFU	LD50 more than 10E6.0
Ainai et al., 2015	BALB/C	A/Narita/1/2009/MDCK15(H1N1)	10E6.0	PFU	LD50 more than 10E6.0
Ainai et al., 2015	BALB/C	A/Narita/1/2009/Egg(H1N1)	10E5.0	PFU	
Ainai et al., 2015	BALB/C	A/Narita/1/2009/Egg15(H1N1)	10E5.0	PFU	
Ainai et al., 2015	BALB/C	A/Narita/1/2009/Mouse15(H1N1)	10E3.0	PFU	
Ilyushina et al., 2010	BALB/C	A/California/04/2009(H1N1)	10E5.1	PFU	
Ilyushina et al., 2010	BALB/C	A/California/04/MA1/I/2009(H1N1)	10E1.8	PFU	
Ilyushina et al., 2010	BALB/C	A/California/04/MA2/I/2009(H1N1)	10E1.8	PFU	
Ilyushina et al., 2010	BALB/C	A/Tennessee/1-560/2009(H1N1)	10E5.0	PFU	
Ilyushina et al., 2010	BALB/C	A/Tennessee/1-560/MA1/I/2009(H1N1)	10E2.6	PFU	
Ilyushina et al., 2010	BALB/C	A/Tennessee/1-560/MA2/I/2009(H1N1)	10E0.6	PFU	
Manicassamy et al., 2010	C57BL/6	A/California/04/2009(H1N1)	10E3.0	PFU	around 10E3.0 and 10E4.7
Manicassamy et al., 2010	C57BL/6	A/California/04/2009(H1N1)	10E4.7	PFU	around 10E3.0 and 10E4.7
Manicassamy et al., 2010	C57BL/6	A/Netherlands/602/2009(H1N1)	10E4.2	PFU	
Manicassamy et al., 2010	BALB/C	A/California/04/2009(H1N1)	10E3.0	PFU	
Manicassamy et al., 2010	BALB/C	A/California/04/2009(H1N1)	10E4.7	PFU	around 10E4.7
Quan et al., 2008	BALB/C	A/Puerto Rico/8/1934(H1N1)	10E2.3	PFU	
Quan et al., 2008	BALB/C	rA/X-31(H3N2)	10E5.8	PFU	
Quan et al., 2008	BALB/C	A/WSN/1933(H1N1)	10E2.3	PFU	
Quan et al., 2008	BALB/C	A/Philippines/2/1982	10E2.3	PFU	
Tumpey et al., 2005	BALB/C	A/SouthCarolina/1/1918(H1N1)	10E3.4	PFU	Average LD50 from 10E3.25 and 10E3.5
Tumpey et al., 2005	BALB/C	A/Texas/36/1991(H1N1)	10E6.0	PFU	LD50 more than 10E6.0
Tumpey et al., 2005	BALB/C	rA/SC18(45678)/TX91(123)(H1N1)	10E5.5	PFU	
Tumpey et al., 2005	BALB/C	rA/SC18(1235678)/TX91(4)(H1N1)	10E6.0	PFU	LD50 more than 10E6.0
Kobasa et al., 2004	BALB/C	rA/WSN33(123578)/SC18(46)(H1N1)	10E3.0	PFU	
Kobasa et al., 2004	BALB/C	A/WSN/1933(H1N1)	10E3.3	PFU	
Kobasa et al., 2004	BALB/C	rA/M88(123578)/SC18(46)(H1N1)	10E5.2	PFU	
Kobasa et al., 2004	BALB/C	rA/M88(123578)/SC18(4)/K173(6)(H1N1)	10E4.4	PFU	
Kobasa et al., 2004	BALB/C	A/Memphis/8/1988(H3N2)	10E6.2	PFU	LD50 more than 10E6.2
Kobasa et al., 2004	BALB/C	rA/M88(123578)/WSN33(46)(H1N1)	10E6.7	PFU	LD50 more than 10E6.7
Kobasa et al., 2004	BALB/C	rA/K173(123578)/SC18(46)(H1N1)	10E6.9	PFU	
Kobasa et al., 2004	BALB/C	rA/K173(1235678)/SC18(4)(H1N1)	10E5.2	PFU	
Kobasa et al., 2004	BALB/C	A/Kawasaki/173/2001(H1N1)	10E7.4	PFU	LD50 more than 10E7.4
Kobasa et al., 2004	BALB/C	rA/K173(123578)/WSN33(46)(H1N1)	10E6.9	PFU	LD50 more than 10E6.9
Belser et al., 2007	BALB/C	A/Netherlands/219/2003(H7N7)	10E2.5	EID50	
Belser et al., 2007	BALB/C	A/chicken/CT/260413-2/2003(H7N2)	10E7.0	EID50	LD50 more than 10E7.0
Belser et al., 2010	BALB/C	A/California/04/2009(H1N1)	10E6.0	EID50	LD50 more than 10E6.0
Belser et al., 2010	BALB/C	A/Texas/15/2009(H1N1)	10E6.0	EID50	LD50 more than 10E6.0
Belser et al., 2010	BALB/C	A/Mexico/4108/2009(H1N1)	10E6.0	EID50	LD50 more than 10E6.0
Belser et al., 2010	BALB/C	A/Mexico/4482/2009(H1N1)	10E6.0	EID50	LD50 more than 10E6.0
Belser et al., 2010	BALB/C	A/Mexico/InDRE4487/2009(H1N1)	10E6.0	EID50	LD50 more than 10E6.0
Belser et al., 2010	BALB/C	A/NewJersey/8/1976(H1N1)	10E6.0	EID50	LD50 more than 10E6.0
Belser et al., 2010	BALB/C	A/SouthCarolina/1/1918(H1N1)	10E3.5	EID50	
Belser et al., 2010	BALB/C	A/VietNam/1203/2004(H5N1)	10E1.3	EID50	
Joseph et al., 2007	BALB/C	A/Netherlands/219/2003(H7N7)	10E0.8	TCID50	
Joseph et al., 2007	BALB/C	A/turkey/England/1963(H7N3)	10E0.5	TCID50	
Joseph et al., 2007	BALB/C	A/turkey/VA/55/2002(H7N2)	10E5.0	TCID50	LD50 more than 10E5.0
Joseph et al., 2007	BALB/C	A/turkey/Utah/24721-10/1995(H7N3)	10E5.0	TCID50	LD50 more than 10E5.0
Lu et al., 1999	BALB/C	A/HongKong/483/1997(H5N1)	10E2.4	EID50	
Lu et al., 1999	BALB/C	A/HongKong/485/1997(H5N1)	10E2.9	EID50	
Lu et al., 1999	BALB/C	A/HongKong/156/1997(H5N1)	10E5.9	EID50	
Lu et al., 1999	BALB/C	A/HongKong/486/1997(H5N1)	10E7.0	EID50	LD50 more than 10E7.0
Lu et al., 1999	BALB/C	rA/X-31(H3N2)	10E5.2	EID50	LD50 more than 10E5.2
Itoh et al., 2009	BALB/C	A/California/04/2009(H1N1)	10E5.8	PFU	
Itoh et al., 2009	BALB/C	A/Kawasaki/UTK-4/2009(H1N1)	10E6.6	PFU	LD50 more than 10E6.6
Maines et al., 2005	BALB/C	A/VietNam/1203/2004(H5N1)	10E2.2	EID50	
Maines et al., 2005	BALB/C	A/VietNam/1204/2004(H5N1)	10E3.8	EID50	
Maines et al., 2005	BALB/C	A/Thailand/16/2004(H5N1)	10E1.7	EID50	
Maines et al., 2005	BALB/C	A/HongKong/483/1997(H5N1)	10E1.6	EID50	
Maines et al., 2005	BALB/C	A/HongKong/486/1997(H5N1)	NA	EID50	
Maines et al., 2005	BALB/C	A/chicken/Indonesia/7/2003(H5N1)	10E7.0	EID50	LD50 more than 10E7.0
Maines et al., 2005	BALB/C	A/chicken/Korea/es/2003(H5N1)	10E7.0	EID50	LD50 more than 10E7.0
Driskell et al., 2010	BALB/C	A/ruddyturnstone/Delaware/650625/2002(H6N1)	10E5.4	PFU	LD50 more than 10E5.4
Ye et al., 2010	BALB/C	A/California/04/2009(H1N1)	10E6.0	TCID50	LD50 more than 10E6.0
Ye et al., 2010	DBA/2	A/California/04/2009(H1N1)	10E6.0	TCID50	LD50 more than 10E6.0
Ye et al., 2010	BALB/C	A/California/04/MA1/Y/2009(H1N1)	10E3.3	TCID50	
Ye et al., 2010	BALB/C	rA/CA04(1235678)/CA04MA1Y(4)(H1N1)	10E6.0	TCID50	
Ye et al., 2010	BALB/C	rA/CA04(125678)/CA04MA1Y(34)(H1N1)	10E4.6	TCID50	
Ye et al., 2010	BALB/C	rA/CA04(123678)/CA04MA1Y(45)(H1N1)	10E4.8	TCID50	
Ye et al., 2010	BALB/C	rA/CA04(12678)/CA04MA1Y(345)(H1N1)	10E3.8	TCID50	
Ye et al., 2010	BALB/C	A/Netherlands/602/2009(H1N1)	10E6.0	TCID50	
Ye et al., 2010	BALB/C	rA/NL602(1235678)/NY18(4)(H1N1)	10E6.0	TCID50	LD50 more than 10E6.0
Ye et al., 2010	BALB/C	rA/NL602(1235678)/CA04MA1Y(4)(H1N1)	10E3.4	TCID50	
